Company,Ticker
Air New Zealand Limited,AIR
Channel Infrastructure NZ Limited,CHI
Fisher & Paykel Healthcare Corporation Limited,FPH
Genesis Energy Limited,GNE
Mercury NZ Limited,MCY
Precinct Properties NZ & Precinct Properties Investments Ltd,PCT
Ryman Healthcare Limited,RYM
Sanford Limited,SAN
Scales Corporation Limited,SCL
Sky Network Television Limited,SKT
Stride Property Ltd & Stride Investment Management Ltd,SPG
