Company,Ticker
Alaska Air Group,ALK
American Airlines Group,AAL
Avis Budget Group,CAR
C.H. Robinson,CHRW
CSX Corporation,CSX
Delta Air Lines,DAL
Expeditors International,EXPD
FedEx,FDX
J.B. Hunt,JBHT
Kirby Corporation,KEX
Landstar System,LSTR
"Matson, Inc.",MATX
Norfolk Southern Corporation,NSC
Old Dominion Freight Line,ODFL
Ryder,R
Southwest Airlines,LUV
Uber,UBER
Union Pacific Corporation,UNP
United Airlines Holdings,UAL
United Parcel Service,UPS
