Company Name
ABB
Aegon
Allianz
Anglo American plc
Apple
AstraZeneca
Aviva
AXA
Banco Bilbao Vizcaya Argentaria
Banco Santander
Barclays
BASF
Bayer
BHP
Bridgestone
Bristol-Myers Squibb
Canon
Carrefour
Caterpillar
Chevron
Citigroup
Coca-Cola
Colgate-Palmolive
Compagnie deSaint-Gobain
Credit Suisse
Daimler
Dell
Deutsche Bank
Deutsche Telekom
Diageo
Dow Chemical
DuPont
E.ON
EMC Corporation
LMEricssonTelephone Co. – B shares
ExxonMobil
Ford
GDF Suez
General Electric
GlaxoSmithKline
Goldman Sachs
Google
Hewlett-Packard
Honda
HSBC
IBM
ING Group
Intel
Johnson & Johnson
JPMorgan Chase
Kimberly-Clark
L'Oréal
LVMH
McDonald's
Merck & Co
Microsoft
Morgan Stanley
Munich Re
National Grid
Nestlé
Nike– class B
Nissan
Nokia
Novartis
Orange
Panasonic
PepsiCo
Pfizer
Philip Morris International
KoninklijkePhilipsElectronics
Procter & Gamble
Prudential
Repsol YPF
Rio Tinto
Royal Dutch Shell– A shares
Royal Dutch Shell – B shares
RWE
Samsung ElectronicsCompany
Sanofi-Aventis
Schneider Electric
Seven & I Holdings
Siemens
Société Générale
Sony
Standard Chartered Bank
Swiss Re
Telefónica
Texas Instruments
Toshiba
TotalEnergies
Toyota
21st Century Fox– class A
UBS
Unilever
United Technologies Corporation
Vivendi Universal
Vodafone
Volkswagen
Wal-Mart
Westfield Group
World Water Index
Dow Jones Global Titans 50
BBC Global 30
S&P 100
S&P Global 1200
iShares S&P Global 100
"^""S&P Global 100 Index Methodology - S&P Dow Jones Indices"""
Standard & Poor's page for S&P Global 100 Index
Bloomberg page for S&P Global 100 index
