Sector,MarketCap,Weight (%)
Health Care,2225232859136,56.74344971322027
Industrial Goods and Services,772011364352,19.68629388663227
Banks,293848639488,7.493141865862792
Utilities,159516950528,4.06768308472952
"Food, Beverage and Tobacco",132688879616,3.383567134145879
Energy,130613919744,3.3306556464018513
Insurance,97029931008,2.474263755464875
Consumer Products and Services,62149959680,1.5848243015564836
Construction and Materials,48475308032,1.2361206119860477
