Sector,Count,Percentage
marine transportation,7,28.000000000000004
oil equipment and services,2,8.0
"farming, fishing, ranching and plantations",2,8.0
oil: crude producers,1,4.0
integrated oil and gas,1,4.0
full line insurance,1,4.0
diversified industrials,1,4.0
semiconductors,1,4.0
banks,1,4.0
aluminum,1,4.0
airlines,1,4.0
food products,1,4.0
life insurance,1,4.0
telecommunications services,1,4.0
machinery: industrial,1,4.0
offshore drilling and other services,1,4.0
fertilizers,1,4.0
