Sector,Count,Percentage
Industrials,11,27.500000000000004
Consumer Cyclical,5,12.5
Financial Services,4,10.0
Consumer Defensive,4,10.0
Healthcare,3,7.5
Communication Services,3,7.5
Technology,3,7.5
Basic Materials,2,5.0
Consumer Services,1,2.5
Inspection and certification,1,2.5
Utilities,1,2.5
Energy,1,2.5
Real Estate,1,2.5
