Sector,Count,Percentage
Financials,6,24.0
Consumer Staples,4,16.0
Technology,4,16.0
Basic Materials,3,12.0
Consumer Discretionary,3,12.0
Industrials,2,8.0
Telecommunications,1,4.0
Health Care,1,4.0
Energy,1,4.0
