Sector,Count,Percentage
Financial Services,7,23.333333333333332
Consumer Cyclical,6,20.0
Technology,4,13.333333333333334
Industrials,3,10.0
Basic Materials,3,10.0
Consumer Defensive,2,6.666666666666667
Utilities,2,6.666666666666667
Communication Services,1,3.3333333333333335
Energy,1,3.3333333333333335
Healthcare,1,3.3333333333333335
