Sector,Count,Percentage
Financial Services,11,22.0
Consumer Cyclical,8,16.0
Basic Materials,6,12.0
Healthcare,5,10.0
Technology,5,10.0
Energy,4,8.0
Industrials,4,8.0
Consumer Defensive,4,8.0
Utilities,2,4.0
Communication Services,1,2.0
