Company Name
MERVAL
Argentina
Aluar
Banco Macro
BBVA
Bolsas y Mercados Argentinos
Cablevisión
Central Puerto
Edenor
Grupo Financiero Galicia
Loma Negra
Mirgor
Pampa Energía
Sociedad Comercial del Plata
Telecom Argentina
Ternium
Transener
Transportadora de Gas del Sur
YPF
