Company Name
ABB
Aegon
Allianz
Anglo American plc
Apple
AstraZeneca
Aviva
AXA
Banco Bilbao Vizcaya Argentaria
Banco Santander
Barclays
BASF
Bayer
BHP
Bridgestone
Bristol-Myers Squibb
Canon
Carrefour
Caterpillar
Chevron
Citigroup
Coca-Cola
Colgate-Palmolive
Saint-Gobain
Credit Suisse
Daimler
Dell
Deutsche Bank
Deutsche Telekom
Diageo
Dow Chemical
DuPont
E.ON
EMC Corporation
Ericsson
ExxonMobil
Ford
GDF Suez
General Electric
GlaxoSmithKline
Goldman Sachs
Google
Hewlett-Packard
Honda
HSBC
IBM
ING Group
Intel
Johnson & Johnson
JPMorgan Chase
Kimberly-Clark
L'Oréal
LVMH
McDonald's
Merck & Co
Microsoft
Morgan Stanley
Munich Re
National Grid
Nestlé
Nike
Nissan
Nokia
Novartis
Orange
Panasonic
PepsiCo
Pfizer
Philip Morris International
Philips
Procter & Gamble
Prudential
Repsol YPF
Rio Tinto
Royal Dutch Shell
RWE
Samsung Electronics
Sanofi-Aventis
Schneider Electric
Seven & I Holdings
Siemens
Société Générale
Sony
Standard Chartered Bank
Swiss Re
Telefónica
Texas Instruments
Toshiba
TotalEnergies
Toyota
21st Century Fox
UBS
Unilever
United Technologies Corporation
Vivendi Universal
Vodafone
Volkswagen
Wal-Mart
Westfield Group
