,EUR,EUR,EUR,AUD,USD,EUR,TRY,INR,EUR,EUR,USD,CNY,EUR,USD,USD,USD,USD,EGP,EUR,GBP,GBP,USD,MYR,EUR,GBP,USD,HKD,EUR,IDR,CLP,EUR,BRL,MXN,KRW,EUR,,USD,USD,INR,INR,USD,USD,USD,JPY,DKK,EUR,SEK,USD,EUR,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,AUD,AUD,NZD,CAD,EUR,THB,CNY,CNY,EUR,CNY,SGD,CHF,TWD,SAR,EUR,USD
,AEX (Netherlands),AMX (Netherlands),ATX (Austria),All Ordinaries (Australia),Amex Oil Index (Energy),BEL 20 (Belgium),BIST 100 (Turkey),BSE SENSEX (India),CAC 40 (France),CAC Next 20 (France),CBOE Volatility Index (VIX),CSI 300 Index (China),DAX (Germany),Dow Jones Global Titans 50,Dow Jones Industrial Average,Dow Jones Transportation Average,Dow Jones Utility Average,EGX 30 Index (Egypt),EURO STOXX 50,FTSE 100 Index (UK),FTSE All-Share Index (UK),FTSE All-World,FTSE Bursa Malaysia KLCI,FTSE MIB (Italy),FTSE MID 250 Index (UK),HUI Gold Index (Metals),Hang Seng Index (Hong Kong),IBEX 35 (Spain),IDX Composite (Indonesia),IPSA (Chile),ISEQ 20 (Ireland),Indice Bovespa (Brazil),Indice de Precios y Cotizaciones (IPC) Mexico,KOSPI (South Korea),MDAX (Germany),MERVAL (Argentina),MSCI EAFE,MSCI World,NIFTY 50 (India),NIFTY Next 50 (India),NYSE Arca Major Market Index,Nasdaq Composite,Nasdaq-100,Nikkei 255 (Japan),OMX Copenhagen 25 (Denmark),OMX Helsinki 25 (Finland),OMX Stockholm 30 (Sweden),PHLX Semiconductor Sector (Electronics),PSI-20 (Portugal),Palisades Water Index (ZWI),Philadelphia Gold and Silver Index (Metals),Russell 1000,Russell 2000,Russell 3000,Russell MidCap,S&P 100,S&P 500,S&P Asia 50,S&P Europe 350,S&P Global 100,S&P Global 1200,S&P Latin America 40,S&P MidCap 400,S&P/ASX 200 (Australia),S&P/ASX 300 (Australia),S&P/NZX 50 (New Zealand),S&P/TSX Composite Index (Canada),SBF 120 (France),SET Index (Thailand),SSE 50 Index (China),SSE Composite Index (China),STOXX Europe 600,SZSE Component Index (China),Straits Times Index (STI) Singapore,Swiss Market Index (SMI),TAIEX (Taiwan),Tadawul All-Share Index (Saudi Arabia),TecDAX (Germany),The Global Dow
2024-01-25,814.8699951171875,894.9299926757812,3437.989990234375,7785.2001953125,1859.47998046875,3632.330078125,8169.8564453125,70700.671875,7464.2001953125,11085.8701171875,13.449999809265137,3342.919921875,16906.919921875,,38049.12890625,15952.7802734375,848.5999755859375,,4582.259765625,7529.7001953125,4122.72998046875,100.37106323242188,,30158.0,19223.099609375,219.8300018310547,16211.9599609375,9916.599609375,7178.0419921875,,9033.0400390625,128169.0,56160.0703125,2470.340087890625,26075.580078125,1284940.0,71.2177505493164,131.93197631835938,21352.599609375,54291.75,3415.010009765625,15510.5,17516.990234375,36236.46875,1837.489990234375,4542.0498046875,2362.72998046875,4472.259765625,6294.5498046875,58.81594467163086,114.16000366210938,2682.35009765625,1975.8800048828125,2804.139892578125,75.53530883789062,2317.669921875,4894.16015625,53.691627502441406,49.687599182128906,,,25.546772003173828,2759.989990234375,7555.39990234375,7495.89990234375,11836.7998046875,21101.5,,1376.0899658203125,,2906.10888671875,478.5299987792969,8856.2197265625,3147.639892578125,11209.01953125,18002.619140625,12161.5595703125,3335.320068359375,
2024-01-26,817.739990234375,902.0399780273438,3455.570068359375,,1876.68994140625,3672.030029296875,8346.255859375,,7634.14013671875,11230.0498046875,13.260000228881836,3333.820068359375,16961.390625,,38109.4296875,15901.1201171875,849.6799926757812,,4635.47021484375,7635.10009765625,4174.89013671875,100.43889617919922,1506.280029296875,30379.0,19338.0,218.5399932861328,15952.23046875,9936.599609375,7137.087890625,,9066.83984375,128967.0,56855.87890625,2478.56005859375,26174.5703125,1253620.0,71.53227996826172,132.04930114746094,,,3426.030029296875,15455.3603515625,17421.009765625,35751.0703125,1839.77001953125,4583.5498046875,2370.1298828125,4342.10009765625,6275.72998046875,58.88532257080078,113.73999786376953,2681.429931640625,1978.3299560546875,2803.39990234375,75.53530883789062,2316.320068359375,4890.97021484375,53.76866149902344,50.18389892578125,,,25.775360107421875,2763.77001953125,,,11875.0302734375,21125.30078125,,1368.1500244140625,,2910.222900390625,483.8399963378906,8762.330078125,3159.530029296875,11390.1298828125,17995.029296875,,3359.8701171875,
2024-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12264.169921875,,
2024-01-29,819.9099731445312,903.3400268554688,3446.9599609375,7808.2998046875,1870.9200439453125,3655.72998046875,8471.6552734375,71941.5703125,7640.81005859375,11142.830078125,13.600000381469727,3303.9599609375,16941.7109375,,38333.44921875,15935.0302734375,855.8699951171875,,4639.35986328125,7632.7001953125,4172.580078125,101.15597534179688,1515.3900146484375,30234.0,19311.19921875,221.80999755859375,16077.240234375,9890.2998046875,7157.1748046875,,9171.1904296875,128503.0,57175.73046875,2500.64990234375,26101.779296875,1253608.0,71.95165252685547,133.0660400390625,21737.599609375,55012.6015625,3440.31005859375,15628.0400390625,17596.26953125,36026.94140625,1845.3800048828125,4582.56005859375,2368.06005859375,4388.27001953125,6252.9599609375,59.55931854248047,115.13999938964844,2703.43994140625,2011.4200439453125,2827.64990234375,76.2198715209961,2334.239990234375,4927.93017578125,53.595333099365234,50.327064514160156,,,25.656496047973633,2789.239990234375,7578.39990234375,7517.89990234375,11878.0498046875,21200.099609375,,1376.280029296875,,2883.360107421875,484.8399963378906,8581.759765625,3140.31005859375,11429.830078125,18119.630859375,12252.8095703125,3343.860107421875,
2024-01-30,820.6400146484375,902.239990234375,3455.0,7835.0,1906.6199951171875,3643.929931640625,8474.2548828125,71139.8984375,7677.47021484375,11134.8203125,13.3100004196167,3245.0400390625,16972.33984375,,38467.30859375,15776.3095703125,854.780029296875,,4662.7001953125,7666.2998046875,4189.31005859375,100.92340850830078,1512.75,30623.0,19349.5,219.67999267578125,15703.4501953125,10039.2998046875,7192.2158203125,,9214.5498046875,127402.0,57537.140625,2498.81005859375,26012.330078125,1267134.0,71.85633087158203,132.94873046875,21522.099609375,54826.19921875,3455.669921875,15509.900390625,17476.7109375,36065.859375,1842.9599609375,4556.06982421875,2368.360107421875,4319.990234375,6292.60986328125,59.88640213012695,114.19000244140625,2700.6298828125,1996.239990234375,2823.75,76.09273529052734,2330.679931640625,4924.97021484375,52.92129898071289,50.374786376953125,,,25.565059661865234,2783.5400390625,7600.2001953125,7540.7998046875,11844.5,21227.900390625,,1373.1400146484375,,2830.527099609375,485.6300048828125,8375.98046875,3150.0400390625,11443.1298828125,18034.630859375,11985.9697265625,3353.659912109375,
2024-01-31,818.2100219726562,899.4000244140625,3456.47998046875,7912.7998046875,1872.6199951171875,3662.9599609375,8496.6552734375,71752.109375,7656.75,11159.349609375,14.350000381469727,3215.35009765625,16903.759765625,,38150.30078125,15515.7998046875,853.0399780273438,,4648.39990234375,7630.60009765625,4173.06005859375,99.69275665283203,1512.97998046875,30744.0,19358.0,218.6699981689453,15485.0703125,10077.7001953125,7207.94091796875,,9178.1201171875,127752.0,57372.76171875,2497.090087890625,25959.0,1260563.0,71.49415588378906,131.19874572753906,21725.69921875,55299.25,3424.02001953125,15164.009765625,17137.240234375,36286.7109375,1856.530029296875,4548.7900390625,2356.60009765625,4260.919921875,6322.759765625,58.73665237426758,113.54000091552734,2656.429931640625,1947.3399658203125,2776.35009765625,74.93878173828125,2288.469970703125,4845.64990234375,52.28578567504883,49.98347091674805,,,25.446195602416992,2732.179931640625,7680.7001953125,7618.60009765625,11843.650390625,21021.900390625,,1364.52001953125,,2788.548095703125,485.6700134277344,8212.83984375,3153.010009765625,11333.3798828125,17889.560546875,11796.6298828125,3342.320068359375,
2024-02-01,822.0900268554688,885.9099731445312,3450.570068359375,7818.7998046875,1873.300048828125,3623.300048828125,8646.0537109375,71645.296875,7588.75,11069.48046875,13.880000114440918,3217.7099609375,16859.0390625,,38519.83984375,15645.349609375,867.030029296875,,4638.60009765625,7622.2001953125,4161.89013671875,100.85557556152344,,30689.0,19131.19921875,226.97000122070312,15566.2099609375,10014.0,7201.69580078125,,9121.740234375,128481.0,57828.078125,2542.4599609375,25902.900390625,1302467.0,72.19947052001953,132.71409606933594,21697.44921875,55508.8515625,3463.010009765625,15361.6396484375,17344.7109375,36011.4609375,1862.3599853515625,4485.8701171875,2364.81005859375,4280.47998046875,6285.35009765625,59.787288665771484,117.54000091552734,2689.389892578125,1974.4200439453125,2811.010009765625,75.88737487792969,2316.800048828125,4906.18994140625,52.7864990234375,50.47977066040039,,,25.91250991821289,2767.419921875,7588.2001953125,7527.2998046875,11940.490234375,21119.19921875,,1367.9599609375,,2770.739990234375,483.8599853515625,8240.48046875,3143.06005859375,11213.91015625,17968.109375,11914.2900390625,3353.300048828125,
2024-02-02,822.530029296875,885.219970703125,3440.780029296875,7931.60009765625,1866.010009765625,3615.280029296875,8665.654296875,72085.6328125,7592.259765625,11060.58984375,13.850000381469727,3179.6298828125,16918.2109375,,38654.421875,15799.58984375,851.47998046875,,4654.5498046875,7615.5,4160.18994140625,101.2334976196289,1516.5799560546875,30718.0,19172.599609375,219.1999969482422,15533.5595703125,10062.5,7238.78515625,,9111.48046875,127182.0,58226.76953125,2615.31005859375,25651.30078125,1316204.0,71.62759399414062,133.3984375,21853.80078125,55940.30078125,3476.070068359375,15628.9501953125,17642.73046875,36158.01953125,1858.3599853515625,4479.52978515625,2367.89990234375,4336.72998046875,6257.3798828125,59.72781753540039,114.05999755859375,2716.610107421875,1962.72998046875,2837.1298828125,75.98516082763672,2352.239990234375,4958.60986328125,52.699832916259766,49.99301528930664,,,25.656496047973633,2767.14990234375,7699.39990234375,7637.7001953125,11931.23046875,21085.099609375,,1384.0799560546875,,2730.152099609375,483.92999267578125,8055.77001953125,3179.77001953125,11239.6796875,18059.9296875,,3324.6201171875,
2024-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11962.7197265625,,
2024-02-05,824.2899780273438,881.9000244140625,3420.010009765625,7855.39990234375,1869.489990234375,3625.6201171875,8776.6533203125,71731.421875,7589.9599609375,11029.33984375,13.670000076293945,3200.419921875,16904.060546875,,38380.12109375,15686.5595703125,836.1500244140625,,4655.27001953125,7612.89990234375,4154.009765625,100.74897766113281,1511.3399658203125,30953.0,19018.599609375,214.7100067138672,15510.009765625,9941.2998046875,7198.615234375,,9038.490234375,127593.0,,2591.31005859375,25588.30078125,1260998.0,71.246337890625,132.80206298828125,21771.69921875,55669.8515625,3442.8701171875,15597.6796875,17613.0390625,36354.16015625,1861.1300048828125,4433.8701171875,2339.889892578125,4388.10009765625,6223.4501953125,58.994354248046875,111.48999786376953,2705.530029296875,1937.239990234375,2824.280029296875,75.22238159179688,2348.360107421875,4942.81005859375,53.171661376953125,49.74485778808594,,,25.528486251831055,2736.360107421875,7625.89990234375,7564.10009765625,11928.7001953125,20871.900390625,,1383.9300537109375,,2702.18505859375,483.69000244140625,7964.7099609375,3134.2900390625,11274.4697265625,18096.0703125,12024.91015625,3348.010009765625,
