Index Name,Ticker,Exchange,City,Latitude,Longitude
Athex Composite (Greece),^ATG,YHD,"New York, USA",40.7127281,-74.0060152
BUX (Hungary),^BUX,YHD,"New York, USA",40.7127281,-74.0060152
ISEQ 20 (Ireland),^ISEQ,ISE,"Dublin, Ireland",53.3493795,-6.2605593
FTSE MIB (Italy),FTSEMIB.MI,MIL,"Milan, Italy",45.4641943,9.1896346
AEX (Netherlands),^AEX,AMS,"Amsterdam, Netherlands",52.3730796,4.8924534
AMX (Netherlands),^AMX,AMS,"Amsterdam, Netherlands",52.3730796,4.8924534
OBX Index (Norway),^OBX,YHD,"New York, USA",40.7127281,-74.0060152
WIG20 (Poland),^WIG20,YHD,"New York, USA",40.7127281,-74.0060152
PSI-20 (Portugal),PSI20.LS,LIS,"Lisbon, Portugal",38.7077507,-9.1365919
BELEX15 (Serbia),^BELEX15,N/A,N/A,,
IBEX 35 (Spain),^IBEX,MCE,"Madrid, Spain",40.4167820,-3.7035070
Madrid Stock Exchange General Index (Spain),^SMSI,YHD,"New York, USA",40.7127281,-74.0060152
OMX Stockholm 30 (Sweden),^OMX,STO,"Stockholm, Sweden",59.3251172,18.0710935
Swiss Market Index (SMI),^SSMI,EBS,"Zurich, Switzerland",47.3744489,8.5410422
Swiss Leader Index (SLI),^SLI,N/A,N/A,,
FTSE 100 Index (UK),^FTSE,FGI,"London, UK",51.4893335,-0.1440551
FTSE MID 250 Index (UK),^FTMC,FGI,"London, UK",51.4893335,-0.1440551
FTSE 350 Index (UK),^NMX,YHD,"New York, USA",40.7127281,-74.0060152
FTSE All-Share Index (UK),^FTAS,FSI,"London, UK",51.4893335,-0.1440551
All Ordinaries (Australia),^AORD,ASX,"Sydney, Australia",-33.8698439,151.2082848
S&P/ASX 200 (Australia),^AXJO,ASX,"Sydney, Australia",-33.8698439,151.2082848
S&P/ASX 300 (Australia),^AXKO,ASX,"Sydney, Australia",-33.8698439,151.2082848
S&P/NZX 50 (New Zealand),^NZ50,NZE,"Wellington, New Zealand",-41.2887953,174.7772114
Amex Oil Index (Energy),^XOI,NYS,"New York, USA",40.7127281,-74.0060152
PHLX Semiconductor Sector (Electronics),^SOX,NIM,"New York, USA",40.7127281,-74.0060152
HUI Gold Index (Metals),^HUI,NYS,"New York, USA",40.7127281,-74.0060152
Philadelphia Gold and Silver Index (Metals),^XAU,NIM,"New York, USA",40.7127281,-74.0060152
Palisades Water Index (ZWI),PHO,NGM,"New York, USA",40.7127281,-74.0060152
